,CompanyName,Ticker
151,QC Copper and Gold Inc.,QCCU.V
152,Phenom Resources Corp.,PHNM.V
153,Equity Metals Corporation,EQTY.V
154,Pacific Ridge Exploration Ltd.,PEX.V
155,Arras Minerals Corp.,ARK.V
156,West High Yield (W.H.Y.) Resources Ltd.,WHY.V
157,Abcourt Mines Inc.,ABI.V
158,Hannan Metals Ltd.,HAN.V
159,Rugby Resources Ltd.,RUG.V
160,Rockhaven Resources Ltd.,RK.V
161,Fancamp Exploration Ltd.,FNC.V
162,Golden Horse Minerals Limited,GHML.V
163,Canuc Resources Corporation,CDA.V
164,Amarc Resources Ltd.,AHR.V
165,Barsele Minerals Corp.,BME.V
166,Aurania Resources Ltd.,ARU.V
167,Bayhorse Silver Inc.,BHS.V
168,Vulcan Minerals Inc.,VUL.V
169,Austral Gold Limited,AGLD.V
170,Sun Peak Metals Corp.,PEAK.V
171,Macarthur Minerals Limited,MMS.V
172,Mundoro Capital Inc.,MUN.V
173,Surge Copper Corp.,SURG.V
174,CopAur Minerals Inc.,CPAU.V
175,Spruce Ridge Resources Ltd.,SHL.V
176,FireFox Gold Corp.,FFOX.V
177,BCM Resources Corporation,B.V
178,Puma Exploration Inc.,PUMA.V
179,Angkor Resources Corp.,ANK.V
180,Aton Resources Inc.,AAN.V
181,Freeman Gold Corp.,FMAN.V
182,East Africa Metals Inc.,EAM.V
183,Aztec Minerals Corp.,AZT.V
184,Almadex Minerals Ltd.,DEX.V
185,Goldsource Mines Inc.,GXS.V
186,Regency Silver Corp.,RSMX.V
187,Clean Air Metals Inc.,AIR.V
188,Tribeca Resources Corporation,TRBC.V
189,Silver Viper Minerals Corp.,VIPR.V
190,Stakeholder Gold Corp.,SRC.V
191,Unigold Inc.,UGD.V
192,Tier One Silver Inc.,TSLV.V
193,BeMetals Corp.,BMET.V
194,Big Ridge Gold Corp.,BRAU.V
195,Delta Resources Limited,DLTA.V
196,Triumph Gold Corp.,TIG.V
197,Trailbreaker Resources Ltd.,TBK.V
198,TVI Pacific Inc.,TVI.V
199,Vior Inc.,VIO.V
200,Goldstorm Metals Corp.,GSTM.V
201,Aston Bay Holdings Ltd.,BAY.V
202,Altiplano Metals Inc.,APN.V
203,Sable Resources Ltd.,SAE.V
204,Canterra Minerals Corporation,CTM.V
205,Cascadia Minerals Ltd.,CAM.V
206,Vizsla Copper Corp.,VCU.V
207,P2 Gold Inc.,PGLD.V
208,Eagle Plains Resources Ltd.,EPL.V
209,Decade Resources Ltd.,DEC.V
210,Sirios Resources Inc.,SOI.V
211,Allegiant Gold Ltd.,AUAU.V
212,Viva Gold Corp.,VAU.V
213,Klondike Gold Corp.,KG.V
214,Radius Gold Inc.,RDU.V
215,Sonoro Gold Corp.,SGO.V
216,Solstice Gold Corp.,SGC.V
217,Portofino Resources Inc.,POR.V
218,Atico Mining Corporation,ATY.V
219,Nulegacy Gold Corporation,NUG.V
220,Dryden Gold Corp.,DRY.V
221,Volcanic Gold Mines Inc.,VG.V
222,Zincx Resources Corp.,ZNX.V
223,KORE Mining Ltd.,KORE.V
224,Quartz Mountain Resources Ltd.,QZM.V
225,Noble Mineral Exploration Inc.,NOB.V
226,Patagonia Gold Corp.,PGDC.V
227,Dynasty Gold Corp.,DYG.V
228,Elevation Gold Mining Corporation,ELVT.V
229,Golconda Gold Ltd.,GG.V
230,Timberline Resources Corporation,TBR.V
231,Capitan Silver Corp.,CAPT.V
232,Rackla Metals Inc.,RAK.V
233,Relevant Gold Corp.,RGC.V
234,Garibaldi Resources Corp.,GGI.V
235,Ridgeline Minerals Corp.,RDG.V
236,Turmalina Metals Corp.,TBX.V
237,Silver Range Resources Ltd.,SNG.V
238,Zacatecas Silver Corp.,ZAC.V
239,Imperial Mining Group Ltd.,IPG.V
240,Omineca Mining and Metals Ltd.,OMM.V
241,Eminent Gold Corp.,EMNT.V
242,Adamera Minerals Corp.,ADZ.V
243,Canada Silver Cobalt Works Inc.,CCW.V
244,Orosur Mining Inc.,OMI.V
245,CopperCorp Resources Inc.,CPER.V
246,TNR Gold Corp.,TNR.V
247,Canadian Critical Minerals Inc.,CCMI.V
248,Pacific Booker Minerals Inc.,BKM.V
249,Namibia Critical Metals Inc.,NMI.V
250,Orford Mining Corporation,ORM.V
251,Multi-Metal Development Ltd.,MLY.V
252,1911 Gold Corporation,AUMB.V
253,DFR Gold Inc.,DFR.V
254,Rokmaster Resources Corp.,RKR.V
255,Precipitate Gold Corp.,PRG.V
256,VR Resources Ltd.,VRR.V
257,Riverside Resources Inc.,RRI.V
258,Lahontan Gold Corp.,LG.V
259,Strikepoint Gold Inc.,SKP.V
260,Ximen Mining Corp.,XIM.V
261,ValOre Metals Corp.,VO.V
262,Angel Wing Metals Inc.,AWM.V
263,Klondike Silver Corp.,KS.V
264,Palamina Corp.,PA.V
265,New Age Metals Inc.,NAM.V
266,Kirkland Lake Discoveries Corp.,KLDC.V
267,Onyx Gold Corp,ONYX.V
268,Sienna Resources Inc.,SIE.V
269,North Arrow Minerals Inc.,NAR.V
270,Carolina Rush Corporation,RUSH.V
271,Fortune Bay Corp.,FOR.V
272,Ultra Lithium Inc.,ULT.V
273,Harfang Exploration Inc.,HAR.V
274,Enduro Metals Corporation,ENDR.V
275,MTB Metals Corp.,MTB.V
276,Awale Resources Limited,ARIC.V
277,Bravada Gold Corporation,BVA.V
278,JZR Gold Inc.,JZR.V
279,Peruvian Metals Corp.,PER.V
280,Galleon Gold Corp.,GGO.V
281,K2 Gold Corporation,KTO.V
282,Desert Gold Ventures Inc.,DAU.V
283,Transatlantic Mining Corp.,TCO.V
284,PPX Mining Corp.,PPX.V
285,Fokus Mining Corporation,FKM.V
286,Chibougamau Independent Mines Inc.,CBG.V
287,Chakana Copper Corp.,PERU.V
288,Renegade Gold Inc.,RAGE.V
289,Golden Arrow Resources Corporation,GRG.V
290,Kainantu Resources Ltd.,KRL.V
291,Halcones Precious Metals Corp.,HPM.V
292,Melkior Resources Inc.,MKR.V
293,ALX Resources Corp.,AL.V
294,Empire Metals Corp.,EP.V
295,Compass Gold Corporation,CVB.V
296,Kaizen Discovery Inc.,KZD.V
297,Stelmine Canada Ltée / Stelmine Canada Ltd.,STH.V
298,Quebec Precious Metals Corporation,QPM.V
299,Fredonia Mining Inc.,FRED.V
300,Bedford Metals Corp.,BFM.V
301,Val-D'Or Mining Corporation,VZZ.V
302,St. James Gold Corp.,LORD.V
303,Sanatana Resources Inc.,STA.V
304,Stratabound Minerals Corp.,SB.V
305,QMC Quantum Minerals Corp.,QMC.V
306,Thunder Gold Corp.,TGOL.V
307,Sparton Resources Inc.,SRI.V
308,Evergold Corp.,EVER.V
309,Juggernaut Exploration Ltd.,JUGR.V
310,Green Mining Innovation Inc.,GMI.V
311,Astra Exploration Inc.,ASTR.V
312,Silver Bullet Mines Corp.,SBMI.V
313,Nevada Sunrise Metals Corporation,NEV.V
314,GGL Resources Corp.,GGL.V
315,Vortex Metals Inc.,VMS.V
316,Walker River Resources Corp.,WRR.V
317,York Harbour Metals Inc.,YORK.V
318,Getty Copper Inc.,GTC.V
319,Prosper Gold Corp.,PGX.V
320,Infinico Metals Corp.,INFM.V
321,Zephyr Minerals Ltd.,ZFR.V
322,Capella Minerals Limited,CMIL.V
323,Kingfisher Metals Corp.,KFR.V
324,Sun Summit Minerals Corp.,SMN.V
325,TRU Precious Metals Corp.,TRU.V
326,Canex Metals Inc.,CANX.V
327,Big Tree Carbon Inc.,BIGT.V
328,Granite Creek Copper Ltd.,GCX.V
329,Sterling Metals Corp.,SAG.V
330,Marvel Discovery Corp.,MARV.V
331,Dios Exploration Inc.,DOS.V
332,Champion Bear Resources Ltd.,CBA.V
333,ExGen Resources Inc.,EXG.V
334,Copper Lake Resources Ltd.,CPL.V
335,ArcWest Exploration Inc.,AWX.V
336,Latin Metals Inc.,LMS.V
337,Windfall Geotek Inc.,WIN.V
338,Visible Gold Mines Inc.,VGD.V
339,Grizzly Discoveries Inc.,GZD.V
340,M3 Metals Corp.,MT.V
341,Scorpio Gold Corporation,SGN.V
